INCLUIR DADOS NA SEQUENCIA SEM ALTERAR OUTRAS INFORMAÇÕES NA PLANILHA,,,
SARF,IG,CNPJ,RAZÃO SOCIAL
201200488,CNPJ,82508433000117,COMPANHIA CATARINENSE DE ÁGUAS E SANEAMENTO - CASAN
201300175,CNPJ,00521113000132,SALVER CONSTRUTORA E INCORPORADORA LTDA
201300253,CNPJ,CNPJ,CENTRAIS ELÉTRICAS DE SANTA CATARINA S.A.
201400175,CNPJ,50668722001916,PROACTIVA MEIO AMBIENTE BRASIL LTDA
201400176,CNPJ,50668722001916,PROACTIVA MEIO AMBIENTE BRASIL LTDA
201400207,CNPJ,02531343000108,ADSERVI ADMINISTRADORA DE SERVIÇOS LTDA
201400219,CNPJ,00521113000132,SALVER CONSTRUTORA E INCORPORADORA LTDA
201400253,CNPJ,79283065000141,ORBENK ADMINISTRAÇÃO E SERVIÇOS LTDA
201500002,CNPJ,79283065000141,ORBENK ADMINISTRAÇÃO E SERVIÇOS LTDA
201500022,CNPJ,83953331000173,ONDREPSB LIMPEZA E SERVICOS ESPECIAIS LTDA.
201500024,CNPJ,83953331000173,ONDREPSB LIMPEZA E SERVIÇOS ESPECIAIS LTDA
201500025,CNPJ,03181576000190,EMBRASP COMÉRCIO E SERVIÇOS DE SEGURANÇA LTDA
201500026,CNPJ,79283065000141,ORBENK ADMINISTRAÇÃO E SERVIÇOS LTDA
201500033,CNPJ,07593524000182,BRASILRECRUTA MAO DE OBRA EIRELI
201500054,CNPJ,97542342000175,RT IMOBILIARIA LTDA - ME
201500059,CNPJ,83953331000173,ONDREPSB LIMPEZA E SERVICOS ESPECIAIS LTDA
201500122,CNPJ,83476911000117,FUNDACAO DE AMPARO A PESQUISA E EXTENSAO UNIVERSITARIA
201500135,CNPJ,83476911000117,FUNDAÇÃO DE AMPARO A PESQUISA E EXTENSÃO UNIVERSITÁRIA
201500178,CNPJ,72332778000109,T.O.S. OBRAS E SERVIÇOS AMBIENTAIS LTDA
201500202,CNPJ,04258566000179,ANTONINI INVENÇÕES EIRELI
20150022/,CNPJ,83953331000173,ONDREPSB LIMPEZA E SERVIÇOS ESPECIAIS LTDA
20150026/,CNPJ,79283065000142,ORBENK ADMINISTRAÇÃO E SERVIÇOS LTDA
201600008,CNPJ,00482840000138,LIDERANÇA LIMPEZA E CONSERVAÇÃO LTDA
201600020,CNPJ,17101531000173,MICROCABLE SERVICOS E EQUIPAMENTOSLTDA
201600031,CNPJ,02531343000108,ADSERVI ADMINISTRADORA DE SERVIÇOS LTDA
201600043,CNPJ,79283065000141,ORBENK ADMINISTRAÇÃO E SERVIÇOS LTDA
201600045,CNPJ,77998912000129,MASTER VIGILANCIA ESPECIALIZADA LTDA
201600046,CNPJ,05497780000140,ADSERVIG VIGILANCIA LTDA
201600047,CNPJ,04629488000171,KHRONOS SEGURANCA PRIVADA LTDA
201600053,CNPJ,14546164000123,LUPA SEGURANCA LTDA
201600059,CNPJ,83953331000173,ONDREPSB LIMPEZA E SERVIÇOS ESPECIAIS LTDA
201600062,CNPJ,09249662000174,SETUP SERVIÇOS ESPECIALIZADOS LTDA
201600115,CNPJ,82949652000131,ONDREPSB LIMPEZA E SERVIÇOS ESPECIAIS LTDA
201600123,CNPJ,77998912000129,MASTER VIGILANCIA ESPECIALIZADA LTDA
201600125,IC1900125,09285968000186,A4 DIGITAL PRINT LTDA
201600134,CNPJ,06958015000143,SILVESTRI GUARDERIA NAUTICA LTDA
201600143,CNPJ,82895327000133,FUNDAÇÃO DE ENSINO E ENGENHARIA DE SANTA CATARINA
201600157,CNPJ,90180605000102,GENTE SEGURADORA AS
201600183,CNPJ,04622116000113,ALGAR MULTIMIDA S.A.
201600197,CNPJ,17324394000136,STARK ENERGIA EIRELI
201600234,CNPJ,02531343000108,ADSERVI - ADMINISTRADORA DE SERVIÇOS LTDA
201600235,CNPJ,00482840000138,LIDERANÇA LIMPEZA E CONSERVAÇÃO LTDA
201600243,CNPJ,02531343000108,ADSERVI - ADMINISTRADORA DE SERVIÇOS LTDA
201600245,CNPJ,82664327000122,SOCIEDADE DESPORTIVA VASTO VERDE
201600246,CNPJ,82895327000133,FUNDACAO DE ENSINO E ENGENHARIA DE SANTA CATARINA.
201600249,CNPJ,83476911000117,FUNDAÇÃO DE AMPARO A PESQUISA E EXTENSÃO UNIVERSITÁRIA
201600258,CNPJ,00482840000138,LIDERANÇA LIMPEZA E CONSERVAÇÃO LTDA
201600262,CNPJ,02469364000140,BIOVETOR SERVICOS ESPECIALIZADOS -EIRELI
201600282,CNPJ,82895327000133,FUNDAÇÃO DE ENSINO E ENGENHARIA DE SANTA CATARINA
201600299,CNPJ,02797782000167,ELEVACON ELEVADORES CONSERVACAO E MANUTENCAO LTDA
201600305,CNPJ,11967535000152,SC SEG SERVIÇOS ESPECIALIZADOS EIRELI
201700001,CNPJ,00482840000138,LIDERANÇA LIMPEZA E CONSERVAÇÃO LTDA
201700015,CNPJ,17324394000136,STARK ENERGIA EIRELI
201700016,CNPJ,17324394000136,STARK ENERGIA EIRELI
201700040,CNPJ,00813763000151,RENATO HENRIQUE - EPP
201700043,CNPJ,09529872000116,TRABISERV GESTAO EMPRESARIAL -EIRELI
201700046,CNPJ,85240869000166,ILHA SERVICE TECNOLOGIA E SERVIÇOS LTDA
201700047,CNPJ,08920547000117,OLIVIER - MICHELLY LAVANDERIA LTDA
201700049,CNPJ,83476911000117,FUNDAÇÃO DE AMPARO A PESQUISA E EXTENSÃO UNIVERSITÁRIA
201700059,CNPJ,02531343000108,ADSERVI *- ADMINISTRADORA DE SERVIÇOS LTDA
201700060,CNPJ,04629488000171,KHRONOS SEGURANCA PRIVADA LTDA
201700066,CNPJ,01101142000108,ECOLUX ENGENHARIA E ILUMINACAO LTDA
201700067,CNPJ,76659820000151,ASSOCIACAO PARANAENSE DE CULTURA - APC
201700074,CNPJ,95832986000172,INVIOLAVEL SEGURANCA 24 HORAS LTDA
201700094,CNPJ,82664327000122,SOCIEDADE DESPORTIVA VASTO VERDE
201700097,CNPJ,09529872000116,TRABISERV GESTAO EMPRESARIAL -EIRELI
201700100,CNPJ,05775079000146,TECHGRAFICA COMERCIO E SERVIÇOS DE MANUTENÇÃO LTDA
201700110,CNPJ,90480605000102,GENTE SEGURADORA AS
201700111,CNPJ,07691746000138,ADIRLEIA DENES BROERING - ME
201700198,CNPJ,00336036000140,COINVALORES CORRET DE CAMBIO E VALS MOBILIARI
201700205,CNPJ,83476911000117,FUNDACAO DE AMPARO A PESQUISA E EXTENSAO UNIVERSITARIA
201700207,CNPJ,82574864000181,₢OOP. PREST SERV. PUB E E S ESTEVES JUNIOR
201700221,CNPJ,79283065000141,ORBENK ADMINISTRAÇÃO E SERVIÇOS LTDA
201700234,CNPJ,04298489000180,ROMARCK GERADORES COMERCIO E SERVICOS LTDA
201700247,CNPJ,07502330000124,ENGENHARIA DE EVENTOS EIRELI - EPP
201700266,CNPJ,19874652000183,CA PRATOMIL RESTAURANTES EMPRESARIAIS LTDA
201700301,CNPJ,07432517000107,"SIMPRESS COMERCIO, LOCACAO E SERVICOS LTDA"
201700316,CNPJ,17324394000136,STARK ENERGIA EIRELI
201700322,CNPJ,83566299000173,FUNDAÇÃO DE ESTUDOS E PESQUISAS - SOCIO ECONOMICAS
201700343,CNPJ,82895327000133,FUNDAÇÃO DE ENSINO E ENGENHARIA DE SANTA CATARINA
201700344,CNPJ,83476911000117,FUNDAÇÃO DE AMPARO A PESQUISA E EXTENSÃO UNIVERS.
201700353,CNPJ,82639071000101,EGON GRAHL ADMINISTRADORA DE BENS LTDA
201800148,CNPJ,33402892000106,ASSOCIACAO BRASILEIRA DE NORMAS TECNICAS ABNT
201800158,CNPJ,17079925000172,CALECHE COMERCIO E SERVIÇOS LTDA
201800159,CNPJ,00482840000138,LIDERANÇA LIMPEZA E CONSERVAÇÃO LTDA
201800162,CNPJ,13711592000363,PAMELA A. R. DE ALCANTARA - TURISMO
201800178,CNPJ,00482840000138,LIDERANÇA LIMPEZA E CONSERVAÇÃO LTDA
201800184,CNPJ,00482840000138,LIDERANÇA LIMPEZA E CONSERVAÇÃO LTDA
201800188,CNPJ,43209436000106,ACECO TI LTDA
201800214,CNPJ,83953331000173,ONDREPSB LIMPEZA E SERVICOS ESPECIAIS LTDA.
201800218,CNPJ,19874652000183,CA PRATOMIL RESTAURANTES EMPRESARIAIS LTDA
201800228,CNPJ,05994708000129,ENEGISUL COMERCIO E SERVIÇOS LTDA
201800238,CNPJ,18856742000189,ASSERTIVA COMERCIO E SERVICOS LTDA
201800253,CNPJ,19387123000155,J R SILVA MANUTENCAO DE APARELHOS DE MEDIDA TESTE E CON.
201800271,CNPJ,42356782000146,EBSCO BRASIL LTDA
201800274,CNPJ,05399372000156,CASA MOREIRA EVENTOS LTDA EPP
201800285,CNPJ,00482840000138,LIDERANÇA LIMPEZA E CONSERVAÇÃO LTDA
201800289,CNPJ,04433214000102,EVENTUAL LIVE MARKETING DIRETO - EIRELI
201800299,CNPJ,83566299000173,FUNDAÇÃO DE ESTUDOS E PESQUISAS - SOCIO ECONOMICAS
201800315,CNPJ,40432544000147,CLARO S.A.
201800317,CNPJ,02512121000148,CENTRO CATARINENSE DE APOIO AAUDICAO - EIRELI
201800328,CNPJ,02469364000140,BIOVETOR SERVICOS ESPECIALIZADOS - EIRELI
201800343,CNPJ,02531343000108,ADSERVI ADMINISTRADORA DE SERVIÇOS LTDA
201800377,CNPJ,20810747000112,E W T BRASIL ELEVADORES LTDA
201800505,CNPJ,50400407000184,PROVAC TERCEIRIZAÇÃO DE MÃO DE OBRA LTDA
201800555,CNPJ,50400407000184,PROVAC TERCEIRIZAÇÃO DE MÃO DE OBRA LTDA
201800567,CNPJ,83476911000117,FUNDAÇÃO DE AMPARO A PESQUISA E EXTENSÃO UNIVERS.
201800570,CNPJ,83476911000117,FUNDAÇÃO DE AMPARO A PESQUISA E EXTENSÃO UNIVERS.
201800571,CNPJ,83476911000117,FUNDAÇÃO DE AMPARO A PESQUISA E EXTENSÃO UNIVERSITÁRIA
201800579,CNPJ,00005761176920,AR EXECUÇÃO SE SERVIÇOS E COMERCIO LTDA
201800582,CNPJ,83566299000173,FUNDAÇÃO DE ESTUDOS E PESQUISAS SOCIOECONOMICAS
201800593,CNPJ,01098340000160,GEFISA CONSTRUTORA E INCORPORADORA LTDA
201800629,CNPJ,22946681000118,RAC SOLUÇÕES EM TECNOLOGIAS SERVIÇOS EIRELI
201800633,CNPJ,01098340000160,GEFISA CONSTRUTORA E INCORPORADORA LTDA
201900014,CNPJ,15583923000190,DEDETIZADORA PLANALTO E SERVICOS LTDA
201900016,CNPJ,04433214000102,EVENTUAL LIVE MARKETING DIRETO EIRELI
201900017,CNPJ,15583923000190,DEDETIZADORA PLANALTO E SERVICOS LTDA
201900019,CNPJ,02531343000108,ADSERVI - ADMINISTRADORA DE SERVICOS LTDA
201900020,CNPJ,02531343000108,ADSERVI - ADMINISTRADORA DE SERVICOS LTDA
201900021,CNPJ,83476911000117,FUNDACAO DE AMPARO A PESQUISA E EXTENSAO UNIVERSITARIA
201900026,CNPJ,26370279000199,L C F SERVICOS LTDA
201900030,CNPJ,04483570000130,ANGELA BEATRIZ DA COSTA SALOMÃO EIRELI
201900034,CNPJ,03049623000147,VICARI COMÉRCIO DE EXTINTORES LTDA
201900036,CNPJ,00482840000138,LIDERANÇA LIMPEZA E CONSERVAÇÃO LTDA
201900037,CNPJ,25165749000110,NEO CONSULTORIA E ADMINISTRACAO DE BENEFICIOS EIRELI
201900038,IC1900038,25165749000110,NEO CONSULTORIA E ADMINISTR ACAO DE BENEFICIOS EIRELI.
201900046,CNPJ,14048837000115,ELOTECH SERVIÇOS INDUSTRIAIS LTDA
201900048,CNPJ,21318535000185,PINHEIRINHO SERVIÇOS ELÉTRICOS EIRELI
201900049,CNPJ,09249662000174,SETUP SERVICOS ESPECIALIZADOS LTDA
201900050,CNPJ,09134633000167,LHL MANUTENCAO E INSTALACAO DE AR CONDICIONAD
201900075,IC1900075,10706379000103,CVM LIMPEZA E CONSERVAÇÃO LTDA
201900077,IC1900077,22538500000114,RIOGRANDENSE CONSTRUTORA DE EDIFICIOS EIRELI
201900080,IC1900080,77853083000196,AGASERV COMERCIO E ASSISTENCIA TECNICA EIRELI
201900081,IC1900081,02248026000189,PEDRO JOEL MUNIZ
201900082,IC1900082,82895327000133,FUNDAÇÃO DE ENSINO E ENGENHARIA DE SANTA CATARINA
201900084,IC1900084,09492811000121,NITROTEC COMERCIO DE PRODUTOS AGROPÇECUARIOS LTDA
201900085,CNPJ,09249662000174,SETUP SERVICOS ESPECIALIZADOS LTDA
201900086,IC1900086,03770521000116,CONTEMAR AMBIENTAL COMERCIO DE CONTAINERS LTDA
201900087,IC1900087,02531343000108,ADSERVI ADMINISTRADORA DE SERVIÇOS LTDA
201900090,IC1900090,82895327000133,FUNDAÇÃO DE ENSINO E ENGENHARIA DE SANTA CATARINA
201900091,IC1900091,15675029000140,J.A.F. DORNELLES FILHO COM DE INFORMÁTICA
201900092,IC1900092,12630233000157,D BERLATO E CIA LTDA
201900094,CNPJ,83413591000318,DICAPEL PAPEIS E EMBALAGENS LTDA
201900113,IC1900113,05368504000182,E&AR EQUIPAMENTOS DE REFRIGERAÇÃO EIRELI
201900115,IC1900115,82895327000133,FUNDAÇÃO DE ENSINO E ENGENHARIA DE SANTA CATARINA
201900117,IC1900117,82895327000133,FUNDAÇÃO DE ENSINO E ENGENHARIA DE SANTA CATARINA
201900118,IC1900118,82895327000133,FUNDAÇÃO DE ENSINO E ENGENHARIA DE SANTA CATARINA
201900120,IC1900120,26407827000108,REALIZA EVENTOS EIRELI
201900123,IC1900123,17688208000148,ASSCON-PP ASSESSORIA E CONSULTORIA PUBLICA PRIVADA LTDA
201900142,IC1900142,29767832000110,CONSTRUTORA VIEIRA LTDA
201900143,IC1900143,17688208000148,ASSCON-PP ASSESSORIA E CONSULTORIA PUBLICA PRIVADA LTDA
201900144,IC1900144,83413591000318,DICAPEL PAPEIS E EMBALAGENS LTDA
201900145,IC1900145,07508171000175,VIGISOL SERVIÇOS DE LIMPEZA E CONSERVAÇÃO EIRELI
201900146,IC1900146,13512119000195,MUNIZ DUARTE ENGENHARIA LTDA
201900147,IC1900147,01418341000115,UATUMA TURISMO E EVENTOS EIRELI
201900148,IC1900148,92713114000105,CCM AUTOMACAO INDUSTRIAL LTDA
201900149,IC1900149,82895327000133,FUNDAÇÃO DE ENSINO E ENGENHARIA DE SANTA CATARINA
201900151,IC1900151,12630233000157,D BERLATO E CIA LTDA
201900153,IC1900153,24504598000114,STOP FIRE PROJETOS E SOLUÇÕS CONTRA INCENDIO EIRELI
201900154,IC1900154,24504598000114,STOP FIRE PROJETOS E SOLUÇÕS CONTRA INCENDIO EIRELI
201900155,IC1900155,09492811000121,NITROTEC COMERCIO DE PRODUTOS AGROPÇECUARIOS LTDA
201900157,IC1900157,21556019000199,TAVARES E SILVA CONSTRUCAO E REFORMAS LTDA
201900165,IC1900165,09330128000198,POWERCOM BRASIL GERADORES - EIRELI
201900167,CNPJ,83476911000117,FUNDACAO DE AMPARO A PESQUISA E EXTENSAO UNIVERSITARIA
201900168,IC1900168,82895327000133,FUNDAÇÃO DE ENSINO E ENGENHARIA DE SANTA CATARINA
201900171,IC1900171,15675029000140,J.A.F. DORNELLES FILHO COM DE INFORMÁTICA
201900172,IC1900172,83476911000117,FUNDACAO DE AMPARO A PESQUISA E EXTENSAO UNIVERSITARIA
201900174,IC1900174,82895327000133,FUNDAÇÃO DE ENSINO E ENGENHARIA DE SANTA CATARINA
201900175,IC1900175,82895327000133,FUNDAÇÃO DE ENSINO E ENGENHARIA DE SANTA CATARINA
201900176,IC1900176,82895327000133,FUNDAÇÃO DE ENSINO E ENGENHARIA DE SANTA CATARINA
201900177,IC1900177,82895327000133,FUNDAÇÃO DE ENSINO E ENGENHARIA DE SANTA CATARINA
201900178,IC1900178,82895327000133,FUNDAÇÃO DE ENSINO E ENGENHARIA DE SANTA CATARINA
201900183,IC1900183,83566299000173,FUNDAÇÃO DE ESTUDOS E PESQUISAS - SOCIO ECONOMICAS
201900184,IC1900184,06932604000152,EVA CONSTRUÇOES E INCORPORAÇÕES LTDA
201900186,IC1900186,15675029000140,J.A.F. DORNELLES FILHO COM DE INFORMÁTICA
201900187,IC1900187,20170243000185,ALIANÇA AR CONDICIONADO E ELETRICA EIRELI
201900188,IC1900188,11084999000110,JEOL BRASIL INSTRUMENTOS CIENTÍFICOS LTDA
201900189,IC1900189,04665574000130,ALPHA VISION COMERCIO E SERVIÇOES DE TELECOMUNICAÇÕES LTDA
201900190,IC1900190,08139234000126,PIEPER ELETRICA E CONSTRUÇÕES LTDA
201900191,IC1900191,13732493000104,MKI CLIMATIZAÇÃO LTDA
201900193,IC1900193,14515302000107,PREVEN MED SAUDE OCUPACIONAL LTDA
201900194,IC1900194,12630233000157,D BERLATO E CIA LTDA
201900195,IC1900195,03049623000147,VICARI COMÉRCIO DE EXTINTORES LTDA
201900196,IC1900196,03049623000147,VICARI COMÉRCIO DE EXTINTORES LTDA
201900198,IC1900198,15675029000140,J.A.F. DORNELLES FILHO COM DE INFORMÁTICA
201900199,IC1900199,04755378000156,BRUKER DO BRASIL COMERCIO E REPRESENTAÇÃO DE PRODUTOS
201900200,IC1900200,05368504000182,E&AR EQUIPAMENTOS DE REFRIGERAÇÃO EIRELI
201900202,IC1900202,08217177000156,FORTALLEZA ENGCLIN LTDA
201900203,IC1900203,06932604000153,EVA CONSTRUÇOES E INCORPORAÇÕES LTDA
201900204,IC1900204,10284045000199,NF COMERCIO E SERVIÇOS EIRELI
201900205,IC1900205,06932604000152,EVA CONSTRUÇOES E INCORPORAÇÕES LTDA
201900206,IC0190206,08139234000126,PIEPER ELETRICA E CONSTRUÇÕES LTDA
201900207,IC1900207,17688208000148,ASSCON-PP ASSESSORIA E CONSULTORIA PUBLICA PRIVADA LTDA
201900209,IC1900209,85388320000113,JM COMERCIO E PRESTACAO DE SERVICO LTDA
201900210,IC1900210,13732493000104,MKI CLIMATIZAÇÃO LTDA
201900211,IC1900211,06932604000154,EVA CONSTRUÇOES E INCORPORAÇÕES LTDA
201900212,IC1900212,26519663000100,M M RODRIGUES EIRELI
201900224,IC1900224,21556019000199,TAVARES E SILVA CONSTRUCAO E REFORMAS LTDA
201900225,IC1900225,83566299000173,FUNDAÇÃO DE ESTUDOS E PESQUISAS - SOCIO ECONOMICAS
201900226,IC1900226,83566299000173,FUNDAÇÃO DE ESTUDOS E PESQUISAS - SOCIO ECONOMICAS
201900227,IC1900227,04198254000117,MCR SISTEMAS E CONSULTORIA LTDA
201900228,IC1900228,19877285000252,LANLINK SOLUCOES E COMERCIALIZACAO EM INFORMATICA S/A
201900229,IC1900229,31837899000125,ALFA TELECOM COM E SERV DE TECNOLOGIA EM REDE
201900230,IC1900230,06105781000165,ZOOM TECNOLOGIA LTDA
201900233,IC1900223,21556019000199,TAVARES E SILVA CONSTRUCAO E REFORMAS LTDA
201900234,IC1900234,37770521000116,CONTEMAR AMBIENTAL COMERCIO DE CONTAINERS LTDA
201900235,IC1900235,10439655000114,PEDRO REGINALDO ALBERNAZ FARIA E FAGUNDES LTDA
201900294,IC1900294,82895327000133,FUNDAÇÃO DE ENSINO E ENGENHARIA DE SANTA CATARINA
201900295,IC1900295,10284045000199,NF COMERCIO E SERVIÇOS EIRELI
201900296,IC1900296,05775256000194,PROQUEST LATIN AMERICA SERVIÇOS E PRODUTOS PARA ACESSO
201900300,IC1900300,15675029000140,J.A.F. DORNELLES FILHO COM DE INFORMÁTICA
201900301,IC1900301,77853083000196,AGASERV COMERCIO E ASSISTENCIA TECNICA EIRELI
201900302,IC1900302,05368504000182,E & AR EQUIPAMENTOS DE REFRIGERAÇÃO EIRELI
201900305,IC1900305,15675029000140,J.A.F. DORNELLES FILHO COM DE INFORMÁTICA
201900307,IC1900307,83476911000117,FUNDACAO DE AMPARO A PESQUISA E EXTENSAO UNIVERSITARIA
201900308,IC1900308,29105107000186,CCL SERVICOS EM RODOVIAS - EIRELI
201900312,IC1900312,92713114000105,CCM AUTOMACAO INDUSTRIAL LTDA
201900314,IC1900314,53775862000152,INSTRUTHERM INSTRUM. DE MEDIÇÃO LTDA
201900316,IC1900316,82895327000133,FUNDAÇÃO DE ENSINO E ENGENHARIA DE SANTA CATARINA
201900317,IC1900317,13798155000167,MENDONCA & GONCALVES CONSTRUCOES E INCORPORAC
201900318,IC1900318,31660321000146,M P DE OLIVEIRA - COMERCIO
201900320,IC1900320,62413869000115,GIGANTE RECEM NASCIDO LTDA
201900323,IC1900323,15402398000160,MAXI EMPREENDIMENTOS IMOBILIARIOS LTDA
201900324,IC1900324,92713114000105,CCM AUTOMACAO INDUSTRIAL LTDA
201900325,IC1900325,04755378000156,BRUKER DO BRASIL COMERCIO E REPRESENTAÇÃO DE PRODUTOS
201900339,IC1900339,82895327000133,FUNDAÇÃO DE ENSINO E ENGENHARIA DE SANTA CATARINA
201900340,IC1900340,83566299000173,FUNDAÇÃO DE ESTUDOS E PESQUISAS - SOCIO ECONOMICAS
201900341,IC1900341,83476911000117,FUNDAÇÃO DE AMPARO A PESQUISA E EXTENSÃO UNIVERSITÁRIA
201900343,IC1900343,83476911000117,FUNDACAO DE AMPARO A PESQUISA E EXTENSAO UNIV
201900344,IC1900344,83476911000117,FUNDACAO DE AMPARO A PESQUISA E EXTENSAO UNIV
201900345,IC1900345,82895327000133,FUNDAÇÃO DE ENSINO E ENGENHARIA DE SANTA CATARINA
201900346,IC1900346,83476911000117,FUNDAÇÃO DE AMPARO A PESQUISA E EXTENSÃO UNIVERSITÁRIA
201900348,IC1900348,33418557000164,OHMLOG EQUIPAMENTOS PARA LABORATORIOS DE PESQUISA LTDA
201900349,IC1900349,83566299000173,FUNDAÇÃO DE ESTUDOS E PESQUISAS - SOCIO ECONOMICAS
201900350,IC1900350,82895327000133,FUNDAÇÃO DE ENSINO E ENGENHARIA DE SANTA CATARINA
201900351,IC1900351,83566299000173,FUNDAÇÃO DE ESTUDOS E PESQUISAS - SOCIO ECONOMICAS
201900352,IC1900352,83476911000117,FUNDACAO DE AMPARO A PESQUISA E EXTENSAO UNIV
201900353,IC1900353,83476911000117,FUNDAÇÃO DE AMPARO A PESQUISA E EXTENSÃO UNIVERSITÁRIA
201900354,IC1900354,09213849000118,ELFORT IMPORTACAO E DISTRIBUICAO DE PRODUTOS EIRELI
201900355,IC1900355,18207297000126,G.S. CONSTRUCOES EIRELI
201900358,IC1900358,82895327000133,FUNDACAO DE ENSINO E ENGENHARIA DE SANTA CATARINA.
201900359,IC1900359,83566299000173,FUNDACAO DE ESTUDOS E PESQUISAS -SOCIO ECONOMICAS
201900361,IC1900361,09134633000167,LHL MANUTENCAO E INSTALACAO DE AR CONDICIONAD
201900362,IC1900362,82870478000137,PADOIN - ENGENHARIA E PROJETOS ELETRICOS EIRE
201900363,IC1900363,83476911000117,FUNDACAO DE AMPARO A PESQUISA E EXTENSAO UNIV
201900367,IC1900367,02857371000110,STATSOFT SOUTH AMERICA COMERCIO DE SOFTWARE LTDA
202000001,IC2000001,82664327000122,SOCIEDADE DESPORTIVA VASTO VERDE
202000002,IC2000002,83476911000117,FUNDAÇÃO DE AMPARO A PESQUISA E EXTENSÃO UNIVERSITÁRIA
202000003,IC2000003,17688208000148,ASSCON-PP ASSESSORIA E CONSULTORIA PUBLICA PRIVADA LTDA
202000008,IC2000008,83476911000117,FUNDACAO DE AMPARO A PESQUISA E EXTENSAO UNIV
202000011,IC2000011,10284045000199,NF COMERCIO E SERVICOS EIRELI
202000012,IC2000012,10284045000199,NF COMERCIO E SERVICOS EIRELI
202000013,IC2000013,06932604000152.,EVA CONSTRUCOES LTDA
202000018,IC2000018,82895327000133,FUNDAÇÃO DE ENSINO E ENGENHARIA DE SANTA CATARINA
202000026,IC2000026,82895327000133,FUNDACAO DE ENSINO E ENGENHARIA DE SANTA CATARINA.
202000027,IC2000027,83476911000117,FUNDAÇÃO DE AMPARO A PESQUISA E EXTENSÃO UNIVERSITÁRIA
202000028,IC2000028,82895327000133,FUNDACAO DE ENSINO E ENGENHARIA DE SANTA CATARINA.
202000030,806030,UG 806030,SERVICO FEDERAL DE PROCESSAMENTO -DE DADOS (SERPRO)
202000036,IC2000036,85388320000113,JM COMERCIO E PRESTACAO DE SERVICO LTDA
